date,djc,djct,dji,djit,djt,djtt,dju,djut
05SEP2001,3023.2,4440.31,10033.27,14435.28,2835.17,3515.18,337.73,747.2
06SEP2001,2981.74,4379.62,9840.84,14158.43,2804.84,3478.3,336.95,745.46
07SEP2001,2921.13,4290.6,9605.85,13820.35,2713.14,3364.58,337.69,747.1
10SEP2001,2908.08,4271.76,9605.51,13819.85,2676.49,3320.32,335.48,742.22
11SEP2001,2908.08,4271.52,9605.51,13819.85,2676.49,3319.47,335.48,742.22
12SEP2001,2908.08,4271.52,9605.51,13819.85,2676.49,3319.47,335.48,742.22
14SEP2001,2908.08,4271.52,9605.51,13819.85,2676.49,3319.47,335.48,742.22
17SEP2001,2680.48,3939.27,8920.7,12842.35,2271.68,2819.72,328.21,726.14
18SEP2001,2659.18,3907.96,8903.4,12817.45,2217.07,2751.93,325.46,720.05
19SEP2001,2610.27,3836.36,8759.13,12610.44,2165.86,2688.93,319.05,705.87
20SEP2001,2517.76,3700.4,8376.21,12059.16,2033.86,2525.04,321.35,710.96
21SEP2001,2489.27,3658.53,8235.81,11857.03,2054.84,2551.09,316.19,699.54
24SEP2001,2565.69,3770.84,8603.86,12386.9,2129.99,2644.39,313.97,694.63
25SEP2001,2560.74,3763.57,8659.97,12467.69,2092.8,2598.22,311.05,688.17
26SEP2001,2516.59,3699.01,8567.39,12336.35,2076.79,2578.34,298.01,659.31
27SEP2001,2526.36,3713.37,8681.42,12500.54,2069.05,2568.73,293.91,650.25
28SEP2001,2599.48,3820.86,8847.56,12739.76,2194.68,2724.7,301.67,667.42
01OCT2001,2590.25,3807.29,8836.83,12724.32,2142.16,2659.5,304.46,673.6
02OCT2001,2626.21,3860.15,8950.59,12888.12,2170.44,2694.61,309.68,685.14
03OCT2001,2686.46,3949.44,9123.78,13141.77,2222.86,2759.69,319.34,706.52
04OCT2001,2674.09,3931.26,9060.88,13051.17,2210.98,2744.94,319.97,707.9
05OCT2001,2688.42,3952.77,9119.77,13138.56,2209.42,2743.01,322.47,713.43
08OCT2001,2669.32,3924.69,9067.94,13063.9,2183.24,2710.5,320.35,708.75
09OCT2001,2643.54,3886.77,9052.44,13041.57,2128.67,2642.76,315.05,697.01
10OCT2001,2702.49,3973.46,9240.86,13313.01,2228.61,2766.83,316.57,700.38
11OCT2001,2752.24,4046.6,9410.45,13557.34,2314.8,2873.83,316.66,700.57
12OCT2001,2720.77,4000.34,9344.16,13461.84,2234.73,2774.43,316.18,699.52
15OCT2001,2723.69,4004.62,9347.62,13466.82,2263.26,2809.84,313.76,694.17
16OCT2001,2747.19,4039.17,9384.23,13519.56,2297.72,2852.62,318.53,704.71
17OCT2001,2698.11,3967.66,9232.97,13305.37,2228.5,2766.7,314.97,696.84
18OCT2001,2665.79,3920.73,9163.22,13208.33,2204.7,2737.15,307.14,679.53
19OCT2001,2671.18,3928.66,9204.11,13267.27,2174.28,2699.38,310.22,686.33
22OCT2001,2701.24,3972.87,9377.03,13516.52,2203.58,2735.76,306.84,678.87
23OCT2001,2694.96,3963.63,9340.08,13463.26,2261.99,2808.27,299.36,662.3
24OCT2001,2672.62,3930.78,9345.62,13471.24,2221.01,2757.39,292.25,646.58
25OCT2001,2708.53,3983.58,9462.9,13640.3,2239.99,2780.96,298.31,659.98
26OCT2001,2721.37,4002.48,9545.17,13758.89,2247.58,2790.38,296.75,656.52
29OCT2001,2666.46,3922.2,9269.5,13361.53,2218.96,2754.85,296.1,655.49
30OCT2001,2628.02,3865.67,9121.98,13148.88,2195.26,2725.42,292.02,646.46
31OCT2001,2625.17,3861.83,9075.14,13082.85,2195.84,2726.51,294.65,652.29
01NOV2001,2666.53,3923.54,9263.9,13356.6,2232.98,2772.62,294.85,653.18
02NOV2001,2669.72,3928.25,9323.54,13442.59,2246.66,2789.61,289.42,641.15
05NOV2001,2713.92,3993.35,9441.03,13612.19,2284.72,2837.02,297.41,658.87
06NOV2001,2740.59,4032.98,9591.12,13828.58,2291.15,2846.36,297.23,658.45
07NOV2001,2732.61,4023.01,9554.37,13779.29,2307.5,2866.99,294.21,652.59
08NOV2001,2749.16,4047.37,9587.52,13827.09,2320.98,2883.74,298.28,661.62
09NOV2001,2755.35,4057.61,9608,13856.62,2320.69,2883.98,299.76,665.66
12NOV2001,2732.37,4023.76,9554.37,13779.29,2272.6,2824.22,298.55,662.98
13NOV2001,2785.56,4104.75,9750.95,14073.75,2341.62,2909.99,300.24,667.32
14NOV2001,2797.98,4125.12,9823.61,14182.59,2392.97,2974.73,293.7,653.68
15NOV2001,2813.56,4148.09,9872.39,14253.01,2454,3050.6,289.76,644.91
16NOV2001,2826,4167.14,9866.99,14248.89,2497.37,3104.76,291.3,648.32
