date,dji
10JUN2004,10410.1
14JUN2004,10334.73
15JUN2004,10380.43
16JUN2004,10379.58
17JUN2004,10377.52
18JUN2004,10416.41
21JUN2004,10371.47
22JUN2004,10395.07
23JUN2004,10479.57
24JUN2004,10443.81
25JUN2004,10371.84
28JUN2004,10357.09
29JUN2004,10413.43
30JUN2004,10435.48
01JUL2004,10334.16
02JUL2004,10282.83
06JUL2004,10219.34
07JUL2004,10240.29
08JUL2004,10171.56
09JUL2004,10213.22
12JUL2004,10238.22
13JUL2004,10247.59
14JUL2004,10208.8
15JUL2004,10163.16
16JUL2004,10139.78
19JUL2004,10094.06
20JUL2004,10149.07
21JUL2004,10046.13
22JUL2004,10050.33
23JUL2004,9962.22
26JUL2004,9961.92
27JUL2004,10085.14
28JUL2004,10117.07
29JUL2004,10129.24
30JUL2004,10139.71
02AUG2004,10179.16
03AUG2004,10120.24
04AUG2004,10126.51
05AUG2004,9963.03
06AUG2004,9815.33
09AUG2004,9814.66
10AUG2004,9944.67
11AUG2004,9938.32
12AUG2004,9814.59
13AUG2004,9825.35
16AUG2004,9954.55
17AUG2004,9972.83
18AUG2004,10083.15
19AUG2004,10040.82
